datetime,open,high,low,close,volume,trades
1640430000,50631.5,50781.4,50589.1,50631.5,0.91549134,69
1640433600,50675.4,50908.4,50675.4,50823.0,0.59071362,51
1640437200,50771.8,50889.6,50658.3,50849.7,5.8083045,71
1640440800,50828.8,50828.9,50686.3,50714.0,3.1920685,60
1640444400,50724.5,50786.9,50662.8,50662.8,3.43691159,64
1640448000,50693.6,50776.2,50515.1,50588.8,6.9538276,109
1640451600,50620.8,50791.2,50211.3,50742.9,10.35272393,226
1640455200,50774.3,51097.6,50737.8,50988.3,1.12298501,93
1640458800,50988.3,51003.8,50836.4,50855.1,2.33202423,55
1640462400,50869.8,50957.1,50790.0,50855.0,0.53697673,47
1640466000,50869.2,51069.3,50864.2,50977.3,3.68380519,69
1640469600,50957.4,50972.2,50598.6,50650.3,1.49234674,85
1640473200,50581.0,50660.6,50400.0,50400.0,0.23063874,54
1640476800,50414.4,50547.9,50285.1,50392.8,3.51655247,79
1640480400,50380.3,50640.0,50332.2,50494.4,2.51248026,47
1640484000,50521.0,50521.0,49900.0,50067.0,3.39141334,162
1640487600,50027.8,50027.8,49668.0,49715.5,8.8511107,161
1640491200,49704.7,49871.2,49634.6,49861.7,1.54146151,63
1640494800,49810.2,49983.6,49810.2,49866.3,1.37445787,55
1640498400,49862.3,49939.0,49829.6,49893.6,0.17083489,28
1640502000,49901.1,49930.0,49720.9,49930.0,10.7523876,72
1640505600,49932.8,50092.8,49845.9,49987.6,11.53159452,100
1640509200,49867.1,50141.4,49849.8,50015.8,2.99197818,71
1640512800,50027.9,50092.4,49956.0,50080.5,2.61139801,51
1640516400,50087.2,50099.5,49480.9,49706.1,12.83761936,153
1640520000,49715.0,49938.1,49671.6,49897.7,4.51412147,107
1640523600,49870.3,49960.0,49790.3,49846.2,1.82921808,78
1640527200,49845.1,49932.2,49723.8,49914.9,8.23937149,98
1640530800,49907.1,50234.2,49902.7,50046.5,2.21914406,271
1640534400,50045.6,50385.6,50045.6,50294.0,1.49811246,113
1640538000,50294.1,50356.5,50161.3,50251.6,10.31806695,142
1640541600,50250.2,50382.4,50156.4,50382.4,3.54064821,105
1640545200,50385.4,50455.4,50252.6,50355.7,7.93255582,106
1640548800,50360.5,50385.7,50282.5,50282.6,3.13019865,96
1640552400,50282.6,50991.6,49946.2,50820.6,24.24200526,342
1640556000,50830.9,51229.4,50798.9,50959.1,12.95075508,181
1640559600,51000.0,51012.0,50689.4,50795.3,3.65137379,88
1640563200,50789.0,50926.9,50612.4,50612.4,2.08976742,67
1640566800,50611.7,50783.4,50492.9,50769.1,0.99678856,72
1640570400,50782.8,50900.2,50691.1,50830.8,0.33945039,38
1640574000,50890.6,51157.9,50890.6,51005.6,6.75293285,92
1640577600,51016.0,51016.0,50914.2,50972.7,0.49583465,53
1640581200,50941.4,50941.5,50861.0,50861.0,0.47601829,27
1640584800,50858.8,50925.5,50772.0,50883.1,5.01373485,68
1640588400,50900.3,50951.1,50692.9,50696.9,2.37943672,63
1640592000,50726.0,50824.1,50597.6,50597.6,11.46353516,150
1640595600,50583.6,50763.0,50524.8,50763.0,5.43751943,91
1640599200,50763.3,50854.8,50717.7,50785.8,11.5192092,132
1640602800,50839.6,50839.6,50683.0,50757.5,6.84768081,120
1640606400,50757.6,51141.6,50534.0,51132.7,13.68833404,199
1640610000,51135.7,51380.0,51023.8,51304.5,8.39654508,242
1640613600,51293.8,51650.0,51218.0,51538.2,10.05446938,219
1640617200,51550.1,51633.7,51403.1,51458.2,9.3538094,116
1640620800,51449.0,51490.6,51252.4,51447.6,4.31645593,99
1640624400,51461.2,52052.0,51446.6,51880.7,9.81541608,214
1640628000,51888.6,51923.5,51633.7,51682.2,12.93438721,152
1640631600,51659.4,51680.8,51238.3,51240.5,12.62146233,159
1640635200,51225.8,51355.5,50956.0,51213.4,12.98443594,181
1640638800,51213.5,51274.3,50958.3,50977.9,7.71376042,86
1640642400,50984.7,51167.2,50733.0,50990.8,2.99292119,131
1640646000,50998.0,51034.9,50627.6,50678.0,6.52015078,115
1640649600,50677.9,50677.9,50055.6,50346.4,8.79897304,244
1640653200,50338.7,50338.7,49666.0,49823.6,18.79976418,205
1640656800,49819.4,49890.5,49629.8,49791.3,2.23053659,98
1640660400,49711.5,49780.0,49528.0,49779.9,2.55206041,71
1640664000,49754.0,49754.0,48711.1,49080.6,36.10232021,367
1640667600,49099.5,49230.7,48983.0,49208.8,1.26994423,111
1640671200,49183.8,49325.4,49141.6,49189.6,4.23088302,73
1640674800,49153.0,49323.2,49091.4,49220.8,3.69003082,84
1640678400,49204.3,49406.7,49150.9,49386.4,7.58363686,103
1640682000,49352.6,49445.4,49043.7,49045.1,14.70084313,160
1640685600,49041.4,49145.0,48822.8,49017.5,28.57411706,216
1640689200,49025.2,49203.3,48925.0,49203.3,7.13948692,95
1640692800,49203.2,49360.8,49128.2,49149.4,7.04822702,130
1640696400,49125.7,49230.0,49014.9,49014.9,8.42931108,178
1640700000,49062.0,49126.2,48404.6,49106.9,27.48208913,545
1640703600,49063.6,49215.0,48922.6,48929.7,8.19502565,203
1640707200,48962.1,48962.1,48200.0,48614.2,15.68273379,278
1640710800,48586.4,48586.4,47700.0,47985.5,13.08158521,347
1640714400,47961.5,47983.5,47700.0,47803.7,12.8144407,218
1640718000,47787.3,47787.3,47337.5,47680.1,22.87320878,375
1640721600,47719.1,48011.6,47578.4,47796.9,32.60300423,332
1640725200,47763.3,47818.8,47545.0,47599.7,4.35641038,94
1640728800,47592.2,47722.0,47354.7,47677.4,6.93092519,162
1640732400,47700.7,47795.9,47537.4,47537.4,0.6265678,63
1640736000,47546.4,47829.4,47500.0,47720.2,0.79361452,72
1640739600,47767.8,47975.3,47714.8,47720.5,3.19672276,68
1640743200,47710.7,48028.9,47710.7,48022.3,0.25669192,38
1640746800,48029.2,48106.1,47952.1,48004.8,0.58105619,40
1640750400,48012.0,48068.0,47791.3,47801.4,1.24513965,47
1640754000,47813.4,47902.1,47786.9,47895.6,2.12506515,51
1640757600,47950.3,47976.1,47757.3,47798.9,3.7706619,63
1640761200,47819.1,47840.7,47541.3,47573.2,2.43155531,93
1640764800,47562.2,47803.9,47562.2,47735.7,4.83609397,121
1640768400,47735.7,48071.9,47440.2,47951.7,16.26184096,222
1640772000,47932.3,47949.1,47666.8,47723.2,17.99422729,141
1640775600,47726.7,47756.4,47563.3,47719.5,18.50501914,188
1640779200,47720.7,47773.3,46692.5,46858.9,33.10995825,500
1640782800,46907.7,47433.1,46626.8,47421.4,23.00843864,280
1640786400,47404.2,47876.5,47269.7,47800.6,7.85980366,219
1640790000,47800.6,48019.8,47719.8,47964.9,111.47358775,473
